t,u_deg,f_deg
0.0,30.0,-10.0
0.01,29.99975126647109,-9.99912029965705
0.02,29.99806012503997,-9.993139209357462
0.03,29.99361935369092,-9.97743345349951
0.04,29.985264568326045,-9.947884933913068
0.05,29.971969121411057,-9.900862687808488
0.06,29.95283900062106,-9.833204845725465
0.07,29.92710772748636,-9.742200589481916
0.08,29.894131256038236,-9.62557211012284
0.09,29.853382871454745,-9.481456565869204
0.1,29.804448088706522,-9.308388040066797
0.11,29.74701955120255,-9.105279499135118
0.12,29.680891929435973,-8.871404750516238
0.13,29.605956819629874,-8.606380400623667
0.14,29.522197642383087,-8.310147812791243
0.15,29.42968454131596,-7.982955065221985
0.16,29.328569281716174,-7.625338908936968
0.17,29.21908014918452,-7.238106725724201
0.18,29.1015168482807,-6.8223184860875
0.19,28.97624540116911,-6.379268707195341
0.2,28.843693046264644,-5.9104684108297585
0.21,28.704343136878478,-5.417627081335193
0.22,28.55873003986386,-4.902634623567375
0.23,28.407434034261914,-4.367543320842194
0.24,28.25107620994742,-3.814549792884568
0.25,28.090313366274618,-3.2459769537773164
0.26,27.925832910722985,-2.664255969910031
0.27,27.758347757543042,-2.0719082179279456
0.28,27.588591226402137,-1.471527242680807
0.29,27.417311941030253,-0.8657607151717635
0.3,27.24526872786577,-0.2572923905061888
0.31,27.073225514701285,0.35117593415938764
0.32,26.9019462293294,0.9569424616684312
0.33,26.7321896981885,1.5573234369155742
0.34,26.564704545008556,2.1496711888976616
0.35000000000000003,26.400224089456923,2.7313921727649433
0.36,26.239461245784124,3.2999650118721835
0.37,26.083103421469627,3.8529585398298174
0.38,25.93180741586768,4.388049842554995
0.39,25.78619431885307,4.903042300322802
0.4,25.6468444094669,5.395883629817371
0.41000000000000003,25.514292054562425,5.864683926182979
0.42,25.389020607450842,6.307733705075115
0.43,25.27145730654702,6.723521944711827
0.44,25.161968174015364,7.110754127924597
0.45,25.06085291441558,7.468370284209605
0.46,24.968339813348457,7.795563031778865
0.47000000000000003,24.884580636101663,8.091795619611297
0.48,24.80964552629557,8.356819969503867
0.49,24.743517904528993,8.590694718122744
0.5,24.68608936702502,8.793803259054425
0.51,24.637154584276796,8.966871784856817
0.52,24.596406199693305,9.110987329110468
0.53,24.563429728245172,9.227615808469569
0.54,24.53769845511048,9.318620064713087
0.55,24.518568334320484,9.386277906796106
0.56,24.50527288740549,9.433300152900713
0.5700000000000001,24.496918102040627,9.462848672487116
0.58,24.492477330691575,9.478554428345074
0.59,24.49078618926044,9.484535518644712
0.6,24.49053745573154,9.485415218987622
