t,humeral_deg,forearm_deg
0.0,30.0,-10.0
0.01,29.99917184832639,-9.998471344502237
0.02,29.99354123787896,-9.988078002448479
0.03,29.978755807700015,-9.960786106712382
0.04,29.95093877188283,-9.90943963711214
0.05,29.906671934748434,-9.827729068733895
0.06,29.842978706022336,-9.710160020255142
0.07,29.75730711601129,-9.552021902268141
0.08,29.647512830780034,-9.349356565603326
0.09,29.51184216732805,-9.098926949652721
0.1,29.348915108766317,-8.798185730693337
0.11,29.15770831949404,-8.445243970210589
0.12,28.93753816037543,-8.038839763221706
0.13,28.688043703916424,-7.578306886599137
0.14,28.409169749441467,-7.063543447393962
0.15,28.101149838270246,-6.494980531159305
0.16,27.764489268894426,-5.873550850273732
0.17,27.39994811215443,-5.200657392264675
0.18,27.008524226416174,-4.478142068131835
0.19,26.591436272747806,-3.7082543606705816
0.2,26.15010673009649,-2.893619972795385
0.21,25.68614491046511,-2.037209475863202
0.22,25.201329974089063,-1.1423069579968956
0.23,24.697593944612997,-0.2124786724086558
0.24,24.177004724267537,0.7484583142766184
0.25,23.64174910904607,1.736467473697882
0.26,23.094115803881476,2.7473241674345505
0.27,22.536478437822883,3.7766469986830895
0.28,21.971278579212417,4.819929163933601
0.29,21.401008750861955,5.8725698046463926
0.3,20.828195445229866,6.929905358928643
0.31,20.255382139597774,7.987240913210897
0.32,19.685112311247316,9.039881553923689
0.33,19.119912452636843,10.083163719174209
0.34,18.56227508657825,11.112486550422748
0.35000000000000003,18.01464178141366,12.123343244159411
0.36,17.479386166192203,13.111352403580657
0.37,16.958796945846736,14.072289390265944
0.38,16.45506091637067,15.002117675854176
0.39,15.970245979994637,15.897020193720465
0.4,15.506284160363254,16.753430690652653
0.41000000000000003,15.064954617711912,17.568065078527894
0.42,14.647866664043566,18.33795278598911
0.43,14.2564427783053,19.060468110121967
0.44,13.8919016215653,19.733361568131027
0.45,13.555241052189487,20.35479124901659
0.46,13.247221141018265,20.923354165251244
0.47000000000000003,12.968347186543301,21.438117604456437
0.48,12.718852730084297,21.89865048107901
0.49,12.498682570965688,22.305054688067884
0.5,12.307475781693412,22.657996448550627
0.51,12.144548723131688,22.958737667509993
0.52,12.008878059679695,23.209167283460623
0.53,11.899083774448417,23.41183262012548
0.54,11.8134121844374,23.569970738112424
0.55,11.749718955711305,23.687539786591174
0.56,11.705452118576883,23.769250354969465
0.5700000000000001,11.677635082759732,23.82059682456964
0.58,11.662849652580782,23.847888720305747
0.59,11.657219042133306,23.858282062359592
0.6,11.656390890459733,23.859810717857286
